NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
90.0,Istanbul,Kartal,Rahmanlar (Atalar),12250000,2.0,1.0,0,0,0,Normal
105.0,Istanbul,Beylikdüzü,Kavaklı,2250000,2.0,1.0,28,2,1,Normal
80.0,Istanbul,Şişli,Harbiye,3250000,1.5,1.0,26,0,0,Normal
85.0,Istanbul,Esenyurt,Haramidere,2350000,2.0,1.0,7,1,0,Normal
120.0,Istanbul,Sultangazi,Cebeci,7500000,3.0,1.0,0,1,1,Normal
95.0,Istanbul,Kağıthane,Çağlayan,4300000,2.0,1.0,25,1,0,Normal
80.0,Istanbul,Büyükçekmece,Mimarsinan,4500000,2.0,1.0,4,1,0,Normal
100.0,Istanbul,Fatih,Aksaray,8500000,2.0,1.0,1,2,1,Normal
195.0,Istanbul,Küçükçekmece,Halkalı,14550000,4.0,1.0,0,2,1,Normal
170.0,Istanbul,Beyoğlu,Kasımpaşa,3250000,2.0,2.0,26,1,1,Dubleks
140.0,Istanbul,Esenyurt,Kıraç,3400000,3.0,1.0,16,2,1,Normal
100.0,Istanbul,Sancaktepe,Samandıra,4250000,2.0,1.0,16,0,1,Normal
170.0,Istanbul,Gaziosmanpaşa,Küçükköy,6100000,2.0,2.0,14,1,0,Normal
120.0,Istanbul,Esenyurt,Haramidere,3450000,3.0,1.0,7,2,1,Normal
130.0,Istanbul,Beyoğlu,Kasımpaşa,2900000,3.0,1.0,28,2,1,Normal
119.0,Istanbul,Bayrampaşa,Muratpaşa,5600000,2.0,1.0,5,1,1,Normal
137.0,Istanbul,Başakşehir,Bahçeşehir,22500000,3.0,1.0,3,2,1,Normal
110.0,Istanbul,Kadıköy,Bostancı,15260000,3.0,1.0,6,1,0,Normal
170.0,Istanbul,Sancaktepe,Sarıgazi,4500000,3.0,1.0,27,1,0,Normal
135.0,Istanbul,Arnavutköy,Boğazköy,4150000,3.0,1.0,18,1,0,Normal
90.0,Istanbul,Tuzla,Mimarsinan,3299000,2.0,1.0,27,1,0,Normal
